trial_number,state,value,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,colsample_bylevel,min_child_weight,gamma,lambda,alpha
0,COMPLETE,0.6856210747825331,437,0.22648248189516842,8,0.7993292420985183,0.5780093202212182,0.5779972601681014,1.0517943155978948,4.330880728874676,0.16730402817820234,0.41604396452566056
1,COMPLETE,0.6698569223208245,118,0.2526878207508456,9,0.6061695553391381,0.5909124836035503,0.5917022549267169,3.3903013081156086,2.6237821581611893,0.039605150456850806,0.011946697137851393
2,COMPLETE,0.5994968021289995,651,0.0022158645374549917,5,0.6831809216468459,0.728034992108518,0.8925879806965068,2.3969009305044175,2.571172192068058,0.15535445807588455,0.0014853153980421612
3,COMPLETE,0.5829501112486475,647,0.0026448980183927102,3,0.9744427686266666,0.9828160165372797,0.9041986740582306,3.3938308071470216,0.48836057003191935,0.3395919924331364,0.042472797953697176
4,COMPLETE,0.5904570570683446,209,0.016850517723339092,3,0.954660201039391,0.6293899908000085,0.831261142176991,3.4612552228494042,2.600340105889054,0.10526037777610406,0.0048280425192712886
5,COMPLETE,0.6699333793530404,973,0.08319514671870787,10,0.9474136752138245,0.7989499894055425,0.9609371175115584,1.3406787694932352,0.979914312095726,0.0014699223219374884,0.01597302366130558
6,COMPLETE,0.654547681492316,450,0.0047007207684461256,9,0.6783766633467947,0.6404672548436904,0.7713480415791243,1.8387801372602453,4.010984903770199,0.0018869508789698256,4.471622947037383
7,COMPLETE,0.5905867471695017,795,0.0031062960067335336,3,0.9077307142274171,0.8534286719238086,0.8645035840204937,7.827068293516485,0.3702232586704518,0.021181366627251397,0.002682848665467022
8,COMPLETE,0.6985343935814103,877,0.03499331111708852,5,0.5317791751430119,0.6554911608578311,0.6625916610133735,7.431258694211609,3.1877873567760657,1.913257049801202,0.05580959150991871
9,COMPLETE,0.7043975962245657,207,0.05845125257262526,9,0.7806385987847482,0.8854835899772805,0.7468977981821954,5.465961879128944,2.137705091792748,0.0012417226051008223,0.0025066122177101993
10,COMPLETE,0.6716318262922236,287,0.01487610271655032,7,0.8198990965633675,0.946059794844914,0.6962843240758687,5.745856787684292,1.4452962979186785,0.0061967697377449055,0.29677387563751745
11,COMPLETE,0.7100845768568627,971,0.05332608414549239,5,0.5302844675162375,0.7299736929640571,0.6973405460453507,9.554469945931974,3.688355457029431,2.401627082487804,0.18070117150429443
12,COMPLETE,0.711735383171204,339,0.06727936168941924,6,0.7441204053530734,0.8848729724558977,0.7511420311882541,9.81408391845924,4.980082658737176,4.31940330184252,0.3164231539133071
13,COMPLETE,0.7006895032497881,466,0.10063050894785622,5,0.5175750435407106,0.7373986636422659,0.6550186135528008,9.87199391809671,4.826689730327275,4.788482889692338,0.4300283093933016
14,COMPLETE,0.7060972050452966,341,0.03275450807983904,6,0.619376888811539,0.8097709897569068,0.7812822899520004,9.974098335006648,3.736028519117716,0.9642169251348036,1.9542167400835644
15,COMPLETE,0.6415813868175275,632,0.01151084430011539,6,0.7210737685267298,0.5023700598265448,0.510456783241702,8.47562306008591,4.898232498406144,0.8029511543395169,0.16563437208215123
16,COMPLETE,0.7178068388016258,761,0.12637483549692918,4,0.6066416678155612,0.9101190920890755,0.7152260414518055,8.732028763877246,3.4483721260588363,4.960415222347286,1.0255062242816466
17,COMPLETE,0.7143529838018061,802,0.13332310507921244,4,0.606604924294804,0.9118900259387225,0.789669024940045,6.239506220261394,3.218389263340794,4.5294482330818635,1.1898658769792112
18,COMPLETE,0.7140124634965275,775,0.16553230989880746,4,0.6006818104614414,0.9375914888967248,0.8372990685242303,6.688250998521403,3.1631519638115915,0.5540462236565903,1.4090267715639475
19,COMPLETE,0.5828081266845488,772,0.001260697392134183,4,0.6466204628007429,0.9990722727110951,0.9517544509454043,8.549730859485887,1.8270799896725272,1.7425315717262906,1.6386139959423327
20,COMPLETE,0.7157483666635567,868,0.1323514204485499,4,0.5721182318753588,0.8255864229972388,0.7996569810168519,6.409444929278796,3.1304588530833035,0.38304965107057587,3.8595734243875386
21,COMPLETE,0.7174350296146678,716,0.12457070567838498,4,0.5686813626064923,0.8071258626907325,0.8106452018417596,6.642114227174827,3.012272899526708,0.34662615982842804,4.7665111764361185
22,COMPLETE,0.7156687583290409,879,0.15133232023204915,4,0.5770081878728345,0.8170269863906725,0.8170064962868606,4.854365938775815,3.1165910441690325,0.32110440603443396,4.848791964469253
23,COMPLETE,0.6760640297816819,714,0.03899193437977808,3,0.5634219349291506,0.7806094726164468,0.7229868088634905,4.664251954638185,3.6646123899297063,0.04824243247713489,2.9521258441837643
24,COMPLETE,0.6992953457942005,570,0.26150307951948293,4,0.5009059170555993,0.8478684057508008,0.6339029453271657,7.026834465924162,2.162470688367986,0.013676776200445906,0.6824033529403141
25,COMPLETE,0.6928506488792668,880,0.10712673240506357,7,0.5606302076994585,0.6920487264981143,0.9123952388857615,8.436082211063045,4.284932550232596,0.32304222100802693,0.8173860853960222
26,COMPLETE,0.7088234627683097,705,0.026358690519864454,5,0.6549914433312047,0.849546226415591,0.7995197872145816,6.100968810010027,2.9700058939801446,1.209842129263337,3.643575377471533
27,COMPLETE,0.6130540408993546,545,0.006912811195691631,4,0.8446937038004019,0.778844438718688,0.7172639132168098,7.771806743328788,3.470385228105945,0.6143394592531226,2.344031298234826
28,COMPLETE,0.7188684060846876,925,0.17564028722676905,3,0.7070902567389714,0.889632181938787,0.8663355251319221,6.671962669395832,2.793599345765543,0.0810937478410038,0.8255321961522977
29,COMPLETE,0.7229123595892195,952,0.196366588925392,3,0.7081189646010715,0.9508183573861614,0.9992483437747104,8.849657679109288,2.1083117463879866,0.07991326649036833,0.6962167327131251
30,COMPLETE,0.7213042654984545,939,0.21946783138901338,3,0.7122309235479091,0.9585932444245255,0.9424333141500366,8.77344949077835,1.6502245827414341,0.004828720002084352,0.5886051807686064
31,COMPLETE,0.7224943824911851,930,0.21241855166337675,3,0.7090380124404777,0.9534140045610696,0.989995756097367,9.148601627325393,1.4577850579170206,0.00441160634890451,0.13138940069510138
32,COMPLETE,0.7153043566795728,975,0.2865473814501692,3,0.7142828929163153,0.9616498807949527,0.9961380255489405,8.977546817999269,1.4098244446996757,0.004904485308980639,0.1148472493426301
33,COMPLETE,0.7224060896798541,926,0.20195030792266466,3,0.772685744647631,0.9697954046035014,0.9944377924116468,9.207062260879319,1.5782793296579807,0.02149100482205796,0.512160265531219
34,COMPLETE,0.7203414339491337,828,0.21736812975134903,3,0.7714738625883804,0.9710338630102581,0.999247321986688,9.215176165045502,0.8585859547099609,0.0031833180009725563,0.029132273045625507
35,COMPLETE,0.7229405823551945,928,0.20763480948875376,3,0.8192881645475915,0.9288149832254514,0.9532150190356548,8.073371683138053,1.5974004805342457,0.010386377229362495,0.09567378988260301
36,COMPLETE,0.72654612132845,998,0.08124927768389582,3,0.8503170991280911,0.9244449811774467,0.9813102468135361,7.968611441170295,1.0260132987192696,0.021871628000066663,0.1136821314833524
37,COMPLETE,0.7129204444985373,996,0.2993878886137195,3,0.8887943754288651,0.9181126947678618,0.9186564558878483,7.7724685197214045,0.9116142786506045,0.01047711580401444,0.08369682437509264
38,COMPLETE,0.6624704149598232,925,0.07736193020270421,8,0.8717474999991927,0.9935080500145484,0.970990537601817,8.265211037975984,0.12805044815787858,0.031700190675001794,0.03172435414586584
